"MatchKey","Type","SetNum","MatchNum","MatchTeamKey","TeamNumber","Alliance","Position","match_scouter","auto__tarmac","auto__starting_position","auto__highhub","auto__lowhub","teleop__highhub","teleop__lowhub","endgame__climb_position","endgame__climbtime","breakdown","defended","playeddefense"
"2022orsal_qm1","qm",1,1,"frc6465",6465,"red",1,"Aasha",false,"4",0,2,0,7,"mid",0,false,false,false
"2022orsal_qm1","qm",1,1,"frc7034",7034,"red",2,"casey",false,"4",2,0,10,0,"high",5,false,false,false
"2022orsal_qm1","qm",1,1,"frc4057",4057,"red",3,"alex",false,"1",0,2,0,6,"mid",0,false,false,false
"2022orsal_qm1","qm",1,1,"frc2521",2521,"blue",1,"lily",true,"1",2,0,4,1,"traverse",10,false,false,false
"2022orsal_qm1","qm",1,1,"frc1432",1432,"blue",2,"Ayden",true,"2",1,0,0,0,"traverse",18,false,false,false
"2022orsal_qm1","qm",1,1,"frc1359",1359,"blue",3,"Suhaani ",true,"4",0,0,0,0,"mid",0,false,false,true
"2022orsal_qm2","qm",1,2,"frc2471",2471,"red",1,"Aasha",false,"4",3,0,5,0,"traverse",0,false,false,false
"2022orsal_qm2","qm",1,2,"frc8032",8032,"red",2,"casey",false,"1",1,0,0,0,"mid",5,false,false,false
"2022orsal_qm2","qm",1,2,"frc3024",3024,"red",3,"alex",false,"2",0,0,7,0,"none",0,false,false,false
"2022orsal_qm2","qm",1,2,"frc5450",5450,"blue",1,"lily",false,"1",1,0,0,0,"mid",8,false,false,false
"2022orsal_qm2","qm",1,2,"frc6443",6443,"blue",2,"Ayden",true,"4",0,0,1,0,"none",0,true,false,false
"2022orsal_qm2","qm",1,2,"frc3131",3131,"blue",3,"Suhaani (robot didn't show up!)",false,"4",0,0,0,0,"none",0,false,false,false
"2022orsal_qm3","qm",1,3,"frc3673",3673,"red",1,"Aasha",true,"1",1,0,0,0,"none",0,false,false,false
"2022orsal_qm3","qm",1,3,"frc3812",3812,"red",2,"casey",true,"3",1,0,0,0,"none",0,false,false,false
"2022orsal_qm3","qm",1,3,"frc3674",3674,"red",3,"alex",false,"1",0,0,2,0,"high",0,false,false,false
"2022orsal_qm3","qm",1,3,"frc3636",3636,"blue",1,"lily",true,"1",2,0,8,0,"mid",10,false,false,false
"2022orsal_qm3","qm",1,3,"frc5468",5468,"blue",2,"Ayden",false,"4",1,0,2,0,"traverse",12,false,false,true
"2022orsal_qm3","qm",1,3,"frc2811",2811,"blue",3,"Suhaani ",true,"3",3,0,9,0,"none",0,false,false,false
"2022orsal_qm4","qm",1,4,"frc2733",2733,"red",1,"Aasha",false,"2",0,0,0,0,"traverse",0,false,false,false
"2022orsal_qm4","qm",1,4,"frc1425",1425,"red",2,"casey",false,"1",0,0,7,0,"none",0,false,false,false
"2022orsal_qm4","qm",1,4,"frc4488",4488,"red",3,"alex",false,"4",2,0,8,0,"none",0,false,false,false
"2022orsal_qm4","qm",1,4,"frc2990",2990,"blue",1,"lily",true,"3",2,0,5,0,"traverse",13,false,false,false
"2022orsal_qm4","qm",1,4,"frc957",957,"blue",2,"Ayden",true,"1",1,1,1,0,"mid",3,false,false,false
"2022orsal_qm4","qm",1,4,"frc997",997,"blue",3,"Suhaani ",false,"4",0,1,0,0,"traverse",0,false,false,true
"2022orsal_qm5","qm",1,5,"frc753",753,"red",1,"Aasha",true,"4",1,0,0,0,"none",0,false,false,false
"2022orsal_qm5","qm",1,5,"frc4057",4057,"red",2,"casey",false,"1",0,2,0,6,"none",0,false,false,false
"2022orsal_qm5","qm",1,5,"frc955",955,"red",3,"alex",false,"4",1,0,11,0,"mid",0,false,false,false
"2022orsal_qm5","qm",1,5,"frc3024",3024,"blue",1,"lily",false,"1",0,0,1,0,"none",0,false,false,false
"2022orsal_qm5","qm",1,5,"frc2635",2635,"blue",2,"Ayden",false,"4",0,0,0,0,"traverse",0,false,false,false
"2022orsal_qm5","qm",1,5,"frc4043",4043,"blue",3,"Suhaani ",true,"4",0,2,0,8,"low",0,false,false,false
"2022orsal_qm6","qm",1,6,"frc5468",5468,"red",1,"Aasha",false,"4",0,0,0,0,"mid",0,false,false,true
"2022orsal_qm6","qm",1,6,"frc3131",3131,"red",2,"casey",false,"3",0,0,0,0,"none",0,false,false,false
"2022orsal_qm6","qm",1,6,"frc2471",2471,"red",3,"alex",false,"4",0,0,6,0,"high",0,false,false,false
"2022orsal_qm6","qm",1,6,"frc8032",8032,"blue",1,"lily",true,"4",0,1,0,3,"mid",7,false,false,false
"2022orsal_qm6","qm",1,6,"frc3673",3673,"blue",2,"Gavin",false,"1",0,0,0,0,"mid",0,false,false,false
"2022orsal_qm6","qm",1,6,"frc6465",6465,"blue",3,"suhaani ",true,"3",0,0,0,0,"none",0,false,false,true
"2022orsal_qm7","qm",1,7,"frc7034",7034,"red",1,"Aasha",true,"4",3,0,4,0,"traverse",0,false,false,false
"2022orsal_qm7","qm",1,7,"frc3674",3674,"red",2,"casey",false,"1",2,0,7,0,"high",5,false,false,false
